 "Transport (10^21 J year^-1)" "Transport uncertainty (10^21 J year^-1)"
Southern_Ocean->Atlantic_Ocean 1.4 -0.1
Southern_Ocean->Pacific_Ocean 0.9 0.1
Southern_Ocean->Indian_Ocean 0.6 -0.1
"Indonesian Throughflow" 0.8 -0.1
"Bering Strait" 0.0 0.1
