 "Transport (10^21 J year^-1)" "Transport uncertainty (10^21 J year^-1)"
Southern_Ocean->Atlantic_Ocean 1.5 -0.0
Southern_Ocean->Pacific_Ocean 3.3 0.2
Southern_Ocean->Indian_Ocean 0.5 -0.1
"Indonesian Throughflow" -0.2 -0.1
"Bering Strait" 0.0 0.0
