 Year FSU-HYCOM MIROC-COCO4.9 CAS-LICOM3 AWI-FESOM CESM-POP NorESM-BLOM MRI.COM EC-Earth3-NEMO Kiel-NEMO GFDL-MOM CMCC-NEMO Observations ACCESS-OM2_new ACCESS_OM2_OMIP
14 1972.0 -8.828499380823822e+21 -1.103900800444823e+22 -6.229037855472578e+21 -1.3299956354718364e+22 -9.84418254404163e+21 -2.43847013920478e+22 -5.403310509031833e+21 -1.2662362021166244e+22 -8.943493137262956e+21 -2.958263029133312e+22 -3.344109027672374e+22 -2.8534605e+22 -1.1345331970228426e+22 6.918602954121952e+21
15 1973.0 -8.568001861512463e+21 -1.377475925868359e+22 -1.2320401497751151e+22 -1.6334680890288563e+22 -7.107975130295506e+21 1.5201062218286219e+22 -7.255357261690171e+21 -1.4761127945848163e+22 -1.0607839412041034e+22 8.924970043615274e+21 8.66719562172078e+21 -2.1701144e+22 -1.2686161691251325e+22 1.600035674048124e+21
16 1974.0 -9.709449162923482e+21 -1.216053767603517e+22 -1.0726390390318336e+22 -1.3391436251136826e+22 -1.1388447993586652e+22 -1.6296374198258759e+22 -9.009405686456928e+21 -1.243267529283979e+22 -8.942548381514538e+21 -1.906998391547743e+22 -1.2660565506310485e+22 -1.4374567e+22 -1.1444447241954887e+22 -1.283561388158604e+21
17 1975.0 -9.252643067791887e+21 -8.510256716251056e+21 -3.641014156443108e+21 -6.813820026823532e+21 -1.1199044183517053e+22 4.1138005148278823e+20 -7.581390758506639e+21 -7.166578646093169e+21 -5.216986622255606e+21 8.370164200527733e+21 5.347049259832508e+21 5.185403e+21 -7.103679788275244e+21 -2.691418924468568e+21
18 1976.0 -6.667383432080718e+21 -3.715124702394492e+21 -4.017840619363217e+20 -9.306810809344632e+20 -9.698768622711617e+21 -3.883346866902255e+22 -5.802887693158016e+21 -1.386279008291896e+21 -2.65933434716341e+21 -3.931296253662581e+22 -3.7059575736927888e+22 4.7122424e+21 -1.8774686190575425e+21 -2.844897863766282e+21
19 1977.0 -2.825734906585461e+21 7.963886213309357e+20 4.1298710392325926e+21 2.2025065434488263e+21 2.847033689931472e+20 -1.3553662362737504e+22 -5.7253764301649347e+20 2.3890901329980707e+21 1.1746020335307131e+21 -1.0285530916459542e+22 -1.1707850986437132e+22 7.736493e+21 2.3895118583272623e+21 -3.514885637265303e+21
20 1978.0 3.6621864487352187e+21 5.922409107011813e+21 4.1559089004000963e+21 7.704604274647573e+21 5.854791841062901e+21 1.3124498306689334e+22 4.32115932777983e+21 7.80160781082976e+21 4.960115711029201e+21 1.2472599769949504e+22 1.4683808961206851e+22 1.9720972e+22 8.353592790493346e+21 -7.90672501064327e+20
21 1979.0 1.2135532762607385e+22 1.3302391134196928e+22 8.278276867435727e+21 1.539533694451682e+22 1.2299947735129252e+22 1.741049095792734e+22 1.0855463599631696e+22 1.370411712811936e+22 1.1053778240750597e+22 2.6100113477360786e+22 2.338042965614495e+22 1.9849962e+22 1.6826430916683928e+22 3.483067137328251e+21
22 1980.0 1.307787784945804e+22 1.3997734277673692e+22 7.121417264876606e+21 1.265072034313425e+22 1.4641855994299834e+22 1.966467418209409e+22 1.0414592768614286e+22 1.2151835996623234e+22 9.595804915297145e+21 1.5327765529656201e+22 1.8032160581964582e+22 7.405263e+21 1.6887553745262955e+22 -8.762694507752409e+20
23 1981.0 1.697611475091719e+22 1.5180763217599153e+22 9.633153889976472e+21 1.281740649815427e+22 1.6157119534667307e+22 2.7256100905586826e+22 1.0033673855834285e+22 1.236237184566883e+22 9.585900999629892e+21 2.705549463878637e+22 2.4758438425529577e+22 5.330923e+21 2.0121516554657464e+22 -2.357913963380043e+21
24 1982.0 2.134111345747215e+22 1.5942975808340966e+22 8.43363619174475e+21 1.362016147689907e+22 1.5470303001233555e+22 1.4503444862211447e+22 1.001592521700544e+22 1.422043252479761e+22 8.76434034471942e+21 1.8256254236495576e+22 5.7860959314101e+21 8.433374e+21 2.0846722169890035e+22 -5.389084978313886e+21
25 1983.0 7.945698401357115e+21 1.4462390691217749e+20 -1.0285676690490471e+22 -6.214552415112916e+21 4.1719969394005304e+21 2.342432823534376e+22 -3.578627060073635e+21 -5.416575327963665e+21 -8.470210849774126e+21 3.211748391177961e+22 2.361154909982521e+22 9.4228736e+21 7.035893455039479e+21 -2.325143822837277e+22
26 1984.0 8.400576882191653e+21 3.8802182058305756e+20 -8.494516005769885e+21 -6.56968863164515e+21 3.6661890821922006e+21 2.7233793169328e+21 -1.9373216537710795e+21 -3.6853360143416385e+21 -9.015070343578956e+21 -1.2690439857770846e+21 4.366148834069525e+19 1.7069883e+22 9.753347430232682e+21 -2.4585508788387898e+22
27 1985.0 1.2315985824803786e+22 7.068180494471817e+21 -1.296153464443186e+21 2.0761370173728673e+21 7.244029194301323e+21 4.565856612824046e+21 2.699273821497917e+21 6.467994890433406e+21 1.5804552494947552e+20 6.122116688561836e+21 -8.56636421066455e+20 2.3971593e+22 1.7857250674949073e+22 -1.9795260315931452e+22
